Filename;Major Axis Length;Minor Axis Length;AR
Focused_mGast_bf_30092020.lif - Condition_5_G_10_cropped00.tif;635,2172;277,1418;2,292029
Focused_mGast_bf_30092020.lif - Condition_5_G_11_cropped00.tif;546,0458;533,3477;1,023808
Focused_mGast_bf_30092020.lif - Condition_5_G_12_cropped00.tif;676,7794;439,6223;1,539457
Focused_mGast_bf_30092020.lif - Condition_5_G_2_cropped00.tif;691,0523;355,3554;1,944679
Focused_mGast_bf_30092020.lif - Condition_5_G_3_cropped00.tif;652,3393;417,2819;1,563306
Focused_mGast_bf_30092020.lif - Condition_5_G_4_cropped00.tif;496,5793;372,5375;1,332965
Focused_mGast_bf_30092020.lif - Condition_5_G_5_cropped00.tif;546,8568;377,7834;1,44754
Focused_mGast_bf_30092020.lif - Condition_5_G_6_cropped00.tif;513,0009;437,3421;1,172997
Focused_mGast_bf_30092020.lif - Condition_5_G_8_cropped00.tif;541,7864;378,3939;1,431805
Focused_mGast_bf_30092020.lif - Condition_5_G_9_cropped00.tif;555,1843;382,7672;1,450449
Focused_mGast_bf_30092020.lif - Condition_5_H_10_cropped00.tif;630,2935;405,3738;1,554845
Focused_mGast_bf_30092020.lif - Condition_5_H_11_cropped00.tif;614,0484;496,7163;1,236216
Focused_mGast_bf_30092020.lif - Condition_5_H_1_cropped00.tif;672,8356;460,2292;1,461958
Focused_mGast_bf_30092020.lif - Condition_5_H_2_cropped00.tif;605,5435;440,4382;1,374866
Focused_mGast_bf_30092020.lif - Condition_5_H_3_cropped00.tif;670,33;499,5525;1,341861
Focused_mGast_bf_30092020.lif - Condition_5_H_4_cropped00.tif;787,9791;434,4839;1,813598
Focused_mGast_bf_30092020.lif - Condition_5_H_5_cropped00.tif;654,4067;526,7295;1,242396
Focused_mGast_bf_30092020.lif - Condition_5_H_6_cropped00.tif;645,9583;436,2493;1,480709
Focused_mGast_bf_30092020.lif - Condition_5_H_9_cropped00.tif;623,6646;417,7568;1,492889
