Name,Date,Condition,Spine Length,Diameter,Elongation Index,Chiron Pulse,Time Point
Condition_1_D_3,23-09-2020,Condition 1,92.974,55,1.6904363636363637,48h,120hAA
Condition_5_F_2,24-09-2020,Condition 5,1011.030,630,1.6048095238095237,48h,144hAA
Condition_4_D_3,24-09-2020,Condition 4,256.768,205,1.2525268292682925,48h,144hAA
Condition_4_G_1,30-09-2020,Condition 4,887.993,407,2.181800982800983,48h,120hAA
Condition_4_G_11,23-09-2020,Condition 4,457.104,205,2.2297756097560977,72h,120hAA
Condition_6_C_3,30-09-2020,Condition 6,807.233,386,2.0912772020725385,48h,120hAA
Condition_2_E_12,30-09-2020,Condition 2,591.794,338,1.750869822485207,48h,120hAA
Condition_3_D_9,01-10-2020,Condition 3,752.796,434,1.7345529953917052,72h,144hAA
Condition_5_G_9,23-09-2020,Condition 5,493.281,343,1.4381370262390671,72h,120hAA
Condition_3_F_10,01-10-2020,Condition 3,906.807,428,2.1187079439252336,72h,144hAA
Condition_4_E_8,23-09-2020,Condition 4,370.391,215,1.7227488372093025,72h,120hAA
Condition_4_B_11,30-09-2020,Condition 4,789.587,418,1.8889641148325358,48h,120hAA
Condition_1_D_4,30-09-2020,Condition 1,571.597,263,2.1733726235741444,48h,120hAA
Condition_2_B_7,30-09-2020,Condition 2,578.034,321,1.8007289719626167,48h,120hAA
Condition_3_G_11,23-09-2020,Condition 3,436.941,272,1.6064007352941176,72h,120hAA
Condition_3_C_4,24-09-2020,Condition 3,676.633,477,1.418517819706499,48h,144hAA
Condition_5_E_7,23-09-2020,Condition 5,430.888,301,1.4315215946843853,72h,120hAA
Condition_4_G_6,23-09-2020,Condition 4,,108,,48h,120hAA
Condition_6_F_11,24-09-2020,Condition 6,411.280,347,1.1852449567723342,72h,144hAA
Condition_6_C_4,23-09-2020,Condition 6,678.640,323,2.1010526315789475,48h,120hAA
Condition_3_F_7,01-10-2020,Condition 3,682.690,451,1.5137250554323727,72h,144hAA
Condition_5_E_12,30-09-2020,Condition 5,77.450,42,1.8440476190476192,48h,120hAA
Condition_6_C_10,24-09-2020,Condition 6,548.912,316,1.7370632911392405,72h,144hAA
Condition_3_B_10,23-09-2020,Condition 3,406.401,302,1.3456986754966889,72h,120hAA
Condition_5_H_9,30-09-2020,Condition 5,640.652,415,1.5437397590361446,48h,120hAA
Condition_2_A_3,30-09-2020,Condition 2,560.979,349,1.6073896848137537,48h,120hAA
Condition_5_F_3,23-09-2020,Condition 5,1224.947,340,3.6027852941176466,48h,120hAA
Condition_4_H_6,30-09-2020,Condition 4,579.115,422,1.3723104265402843,48h,120hAA
Condition_4_D_2,23-09-2020,Condition 4,,250,,48h,120hAA
Condition_4_G_10,30-09-2020,Condition 4,790.507,463,1.7073585313174946,48h,120hAA
Condition_3_E_3,01-10-2020,Condition 3,894.288,462,1.9356883116883117,72h,144hAA
Condition_3_C_11,01-10-2020,Condition 3,742.052,477,1.555664570230608,72h,144hAA
Condition_4_B_10,23-09-2020,Condition 4,287.480,227,1.266431718061674,72h,120hAA
Condition_6_C_5,24-09-2020,Condition 6,738.160,461,1.6012147505422993,48h,144hAA
Condition_5_E_6,24-09-2020,Condition 5,2076.036,799,2.5982928660826032,48h,144hAA
Condition_3_C_5,23-09-2020,Condition 3,,501,,48h,120hAA
Condition_2_A_4,23-09-2020,Condition 2,335.431,224,1.4974598214285713,48h,120hAA
Condition_4_G_7,24-09-2020,Condition 4,315.318,239,1.3193221757322176,72h,144hAA
Condition_6_B_9,30-09-2020,Condition 6,934.884,424,2.2049150943396225,48h,120hAA
Condition_5_D_12,01-10-2020,Condition 5,637.348,385,1.6554493506493506,72h,144hAA
Condition_5_F_4,30-09-2020,Condition 5,481.140,395,1.2180759493670885,48h,120hAA
Condition_4_D_5,30-09-2020,Condition 4,749.497,411,1.8235936739659366,48h,120hAA
Condition_4_H_1,23-09-2020,Condition 4,231.870,173,1.3402890173410404,48h,120hAA
Condition_5_G_8,24-09-2020,Condition 5,949.858,542,1.7525055350553504,72h,144hAA
Condition_5_H_10,24-09-2020,Condition 5,832.810,601,1.3857071547420965,72h,144hAA
Condition_4_E_9,24-09-2020,Condition 4,337.152,223,1.5118923766816144,72h,144hAA
Condition_1_E_9,23-09-2020,Condition 1,,27,,72h,120hAA
