Name,Date,Condition,Spine Length,Diameter,Elongation Index,Chiron Pulse,Time Point
Condition_6_B_6,23-09-2020,Condition 6,754.532,343,2.199801749271137,48h,120hAA
Condition_1_G_8,30-09-2020,Condition 1,536.196,265,2.023381132075472,48h,120hAA
Condition_3_G_5,01-10-2020,Condition 3,866.004,419,2.066835322195704,72h,144hAA
Condition_4_B_12,24-09-2020,Condition 4,436.236,202,2.1595841584158415,72h,144hAA
Condition_6_F_12,30-09-2020,Condition 6,108.507,32,3.39084375,48h,120hAA
Condition_1_E_6,30-09-2020,Condition 1,548.120,264,2.076212121212121,48h,120hAA
Condition_2_C_5,30-09-2020,Condition 2,563.705,318,1.7726572327044026,48h,120hAA
Condition_5_E_11,24-09-2020,Condition 5,1501.146,696,2.156818965517241,72h,144hAA
Condition_5_H_12,23-09-2020,Condition 5,478.836,297,1.6122424242424243,72h,120hAA
Condition_3_A_2,24-09-2020,Condition 3,611.770,467,1.31,48h,144hAA
Condition_5_G_1,23-09-2020,Condition 5,392.940,279,1.4083870967741936,48h,120hAA
Condition_6_A_2,23-09-2020,Condition 6,634.064,389,1.6299845758354754,48h,120hAA
Condition_4_H_8,24-09-2020,Condition 4,400.614,211,1.898644549763033,72h,144hAA
Condition_1_H_8,23-09-2020,Condition 1,154.515,108,1.4306944444444443,72h,120hAA
Condition_3_D_1,01-10-2020,Condition 3,962.456,511,1.8834755381604698,72h,144hAA
Condition_1_F_2,30-09-2020,Condition 1,532.324,278,1.9148345323741005,48h,120hAA
Condition_5_H_7,24-09-2020,Condition 5,1251.773,649,1.9287719568567026,72h,144hAA
Condition_2_B_8,23-09-2020,Condition 2,207.532,169,1.228,72h,120hAA
Condition_5_G_6,30-09-2020,Condition 5,568.508,381,1.4921469816272968,48h,120hAA
Condition_4_E_7,30-09-2020,Condition 4,565.396,410,1.3790146341463414,48h,120hAA
Condition_6_A_5,30-09-2020,Condition 6,682.727,493,1.384841784989858,48h,120hAA
Condition_5_C_9,01-10-2020,Condition 5,649.100,508,1.277755905511811,72h,144hAA
Condition_3_H_2,01-10-2020,Condition 3,925.766,561,1.6502067736185382,72h,144hAA
Condition_5_A_7,01-10-2020,Condition 5,922.180,553,1.6675949367088607,72h,144hAA
Condition_5_E_8,30-09-2020,Condition 5,596.362,380,1.5693736842105261,48h,120hAA
Condition_4_G_9,30-09-2020,Condition 4,578.658,381,1.5187874015748033,48h,120hAA
Condition_6_B_7,24-09-2020,Condition 6,,822,,72h,144hAA
Condition_1_F_5,23-09-2020,Condition 1,,57,,48h,120hAA
Condition_3_B_7,23-09-2020,Condition 3,388.171,290,1.3385206896551725,72h,120hAA
Condition_5_D_4,24-09-2020,Condition 5,1255.725,909,1.3814356435643564,48h,144hAA
Condition_4_F_5,24-09-2020,Condition 4,298.394,248,1.203201612903226,48h,144hAA
Condition_5_G_10,23-09-2020,Condition 5,492.899,308,1.6003214285714287,72h,120hAA
Condition_1_B_2,23-09-2020,Condition 1,86.816,50,1.73632,48h,120hAA
Condition_4_B_2,24-09-2020,Condition 4,307.156,192,1.5997708333333334,48h,144hAA
Condition_2_H_5,30-09-2020,Condition 2,649.710,352,1.8457670454545456,48h,120hAA
Condition_2_D_1,23-09-2020,Condition 2,305.908,243,1.258880658436214,48h,120hAA
Condition_5_F_11,01-10-2020,Condition 5,770.818,530,1.4543735849056603,72h,144hAA
Condition_5_C_1,30-09-2020,Condition 5,713.028,476,1.4979579831932774,48h,120hAA
Condition_2_B_10,30-09-2020,Condition 2,654.208,340,1.9241411764705882,48h,120hAA
Condition_6_E_2,30-09-2020,Condition 6,682.067,424,1.6086485849056604,48h,120hAA
Condition_3_A_12,01-10-2020,Condition 3,242.512,160,1.5157,72h,144hAA
Condition_3_B_8,01-10-2020,Condition 3,909.299,424,2.144573113207547,72h,144hAA
Condition_1_B_5,30-09-2020,Condition 1,655.175,297,2.2059764309764307,48h,120hAA
Condition_2_G_10,23-09-2020,Condition 2,211.912,169,1.2539171597633136,72h,120hAA
Condition_2_D_6,30-09-2020,Condition 2,482.196,313,1.5405623003194888,48h,120hAA
Condition_2_H_2,23-09-2020,Condition 2,284.246,241,1.1794439834024895,48h,120hAA
Condition_4_C_9,23-09-2020,Condition 4,359.269,145,2.4777172413793105,72h,120hAA
Condition_5_A_8,23-09-2020,Condition 5,464.831,263,1.7674182509505705,72h,120hAA
Condition_4_A_7,23-09-2020,Condition 4,181.075,127,1.425787401574803,72h,120hAA
Condition_3_E_5,24-09-2020,Condition 3,494.955,430,1.1510581395348838,48h,144hAA
Condition_5_C_6,23-09-2020,Condition 5,602.521,356,1.6924747191011236,48h,120hAA
Condition_6_E_5,23-09-2020,Condition 6,711.567,346,2.0565520231213874,48h,120hAA
Condition_2_F_8,30-09-2020,Condition 2,623.218,349,1.785724928366762,48h,120hAA
Condition_5_B_10,30-09-2020,Condition 5,646.188,395,1.635918987341772,48h,120hAA
Condition_5_G_11,30-09-2020,Condition 5,664.499,271,2.4520258302583025,48h,120hAA
Condition_1_A_1,30-09-2020,Condition 1,666.556,354,1.8829265536723165,48h,120hAA
Condition_2_G_2,30-09-2020,Condition 2,524.616,389,1.3486272493573264,48h,120hAA
Condition_6_D_12,24-09-2020,Condition 6,472.165,365,1.2936027397260275,72h,144hAA
Condition_3_H_11,24-09-2020,Condition 3,816.669,258,3.1653837209302327,72h,144hAA
Condition_3_E_12,23-09-2020,Condition 3,426.462,267,1.5972359550561797,72h,120hAA
Condition_4_B_3,23-09-2020,Condition 4,277.048,166,1.6689638554216868,48h,120hAA
Condition_3_F_1,24-09-2020,Condition 3,688.032,478,1.439397489539749,48h,144hAA
Condition_6_F_1,23-09-2020,Condition 6,726.028,410,1.7708000000000002,48h,120hAA
Condition_3_C_2,01-10-2020,Condition 3,902.796,480,1.8808250000000002,72h,144hAA
Condition_5_H_9,01-10-2020,Condition 5,657.788,472,1.3936186440677967,72h,144hAA
Condition_2_B_11,23-09-2020,Condition 2,228.374,187,1.2212513368983957,72h,120hAA
Condition_2_G_11,30-09-2020,Condition 2,522.972,362,1.4446740331491712,48h,120hAA
Condition_5_C_10,01-10-2020,Condition 5,842.412,554,1.5205992779783395,72h,144hAA
Condition_5_F_4,01-10-2020,Condition 5,659.448,501,1.3162634730538922,72h,144hAA
Condition_6_D_8,30-09-2020,Condition 6,558.327,418,1.3357105263157896,48h,120hAA
Condition_1_A_6,23-09-2020,Condition 1,221.826,159,1.395132075471698,48h,120hAA
Condition_4_H_11,24-09-2020,Condition 4,442.613,317,1.3962555205047318,72h,144hAA
Condition_4_E_12,23-09-2020,Condition 4,,851,,72h,120hAA
Condition_6_E_4,24-09-2020,Condition 6,653.271,466,1.4018690987124462,48h,144hAA
Condition_2_G_5,23-09-2020,Condition 2,275.039,203,1.354871921182266,48h,120hAA
Condition_4_A_6,24-09-2020,Condition 4,,72,,48h,144hAA
Condition_5_C_7,24-09-2020,Condition 5,1380.862,678,2.036669616519174,72h,144hAA
Condition_3_E_4,23-09-2020,Condition 3,563.339,347,1.6234553314121039,48h,120hAA
Condition_4_C_8,24-09-2020,Condition 4,403.603,296,1.3635236486486486,72h,144hAA
Condition_5_A_9,24-09-2020,Condition 5,1491.995,936,1.594011752136752,72h,144hAA
Condition_1_C_8,23-09-2020,Condition 1,,56,,72h,120hAA
Condition_4_B_4,30-09-2020,Condition 4,888.160,440,2.0185454545454546,48h,120hAA
Condition_6_F_6,30-09-2020,Condition 6,689.262,487,1.4153223819301848,48h,120hAA
Condition_5_B_11,23-09-2020,Condition 5,592.801,352,1.6840937500000002,72h,120hAA
Condition_3_G_4,01-10-2020,Condition 3,854.487,492,1.7367621951219512,72h,144hAA
Condition_1_G_9,30-09-2020,Condition 1,493.088,358,1.3773407821229051,48h,120hAA
Condition_6_B_7,23-09-2020,Condition 6,501.636,209,2.4001722488038277,72h,120hAA
Condition_3_B_7,24-09-2020,Condition 3,535.300,283,1.8915194346289752,72h,144hAA
Condition_5_D_4,23-09-2020,Condition 5,591.687,369,1.6034878048780488,48h,120hAA
Condition_4_F_5,23-09-2020,Condition 4,480.429,211,2.276914691943128,48h,120hAA
Condition_5_E_10,24-09-2020,Condition 5,2050.011,850,2.4117776470588237,72h,144hAA
Condition_2_C_4,30-09-2020,Condition 2,441.722,337,1.3107477744807121,48h,120hAA
Condition_1_E_7,30-09-2020,Condition 1,546.014,243,2.246971193415638,48h,120hAA
Condition_5_H_7,23-09-2020,Condition 5,516.426,259,1.99392277992278,72h,120hAA
Condition_5_D_3,30-09-2020,Condition 5,694.160,367,1.8914441416893732,48h,120hAA
Condition_4_F_2,30-09-2020,Condition 4,,450,,48h,120hAA
Condition_3_A_2,23-09-2020,Condition 3,497.207,348,1.4287557471264367,48h,120hAA
Condition_5_G_1,24-09-2020,Condition 5,1583.504,878,1.8035353075170841,48h,144hAA
Condition_2_C_3,23-09-2020,Condition 2,264.200,211,1.2521327014218009,48h,120hAA
Condition_6_A_2,24-09-2020,Condition 6,852.957,464,1.838269396551724,48h,144hAA
Condition_4_H_8,23-09-2020,Condition 4,365.029,204,1.789357843137255,72h,120hAA
Condition_5_B_2,01-10-2020,Condition 5,777.307,578,1.3448217993079585,72h,144hAA
Condition_3_H_3,01-10-2020,Condition 3,,568,,72h,144hAA
Condition_5_C_8,01-10-2020,Condition 5,702.412,536,1.3104701492537314,72h,144hAA
Condition_6_A_4,30-09-2020,Condition 6,785.411,503,1.5614532803180914,48h,120hAA
Condition_1_C_12,30-09-2020,Condition 1,368.694,293,1.2583412969283276,48h,120hAA
Condition_5_G_7,30-09-2020,Condition 5,126.239,86,1.4678953488372093,48h,120hAA
Condition_4_E_6,30-09-2020,Condition 4,641.081,393,1.6312493638676846,48h,120hAA
Condition_2_B_9,23-09-2020,Condition 2,226.696,165,1.3739151515151515,72h,120hAA
