promoter	genebody	intergenic	repeats
MB-mESCs-ChICK27me3-con1.bam	138290.883419544	230014.157697094	317322.167153331	314372.791730031
MB-mESCs-ChICK27me3-con2.bam	130943.063867496	259090.758627989	322466.318142617	287499.859361897
MB-mESCs-ChICK27me3-con3.bam	133638.072335206	244070.143740613	314409.829066681	307881.9548575
MB-mESCs-ChICK27me3-con4.bam	138208.412485724	233764.195385954	307236.289931114	320791.102197208
MB-mESCs-ChICK27me3-con5.bam	137602.894482662	248561.624773051	315101.409642239	298734.071102048
MB-mESCs-ChICK27me3-con6.bam	138621.527774647	244747.254359482	312947.429233712	303683.788632158
